system_time,axis_1_position_mm
15:13:25.934818,0.000000
15:13:25.938190,-0.000200
15:13:25.942409,-0.000500
15:13:25.959522,-0.000900
15:13:26.021528,-0.017200
15:13:26.068365,-0.073400
15:13:26.115646,-0.142700
15:13:26.162268,-0.232200
15:13:26.208450,-0.342800
15:13:26.239746,-0.452100
15:13:26.278058,-0.577100
15:13:26.317262,-0.688000
15:13:26.348513,-0.805900
15:13:26.394696,-0.983000
15:13:26.442318,-1.214100
15:13:26.474022,-1.434800
15:13:26.517983,-1.617400
15:13:26.583604,-1.853800
15:13:26.622062,-2.163900
15:13:26.660139,-2.319300
15:13:26.707794,-2.552200
15:13:26.754539,-2.785900
15:13:26.802407,-3.026400
15:13:26.849157,-3.236700
15:13:26.895242,-3.483500
15:13:26.941263,-3.701500
15:13:26.987181,-3.936800
15:13:27.034017,-4.187400
15:13:27.081636,-4.423800
15:13:27.123444,-4.655600
15:13:27.190827,-4.890400
15:13:27.237518,-5.178600
15:13:27.284497,-5.433900
15:13:27.330872,-5.670500
15:13:27.377459,-5.900300
15:13:27.424042,-6.135800
15:13:27.470923,-6.368500
15:13:27.533110,-6.679800
15:13:27.565452,-6.915800
15:13:27.610393,-7.067300
15:13:27.641155,-7.221900
15:13:27.687846,-7.447300
15:13:27.726454,-7.685700
15:13:27.765463,-7.841400
15:13:27.812437,-8.081100
15:13:27.858686,-8.306800
15:13:27.898395,-8.544700
15:13:27.937112,-8.699800
15:13:27.968256,-8.901800
15:13:28.015531,-9.091500
15:13:28.063117,-9.328700
15:13:28.110807,-9.567300
15:13:28.141990,-9.723000
15:13:28.174639,-9.956400
15:13:28.220739,-10.117300
15:13:28.267664,-10.338300
15:13:28.310291,-10.585300
15:13:28.360588,-10.818500
15:13:28.391297,-10.976000
15:13:28.437144,-11.197200
15:13:28.474899,-11.438000
15:13:28.515680,-11.594400
15:13:28.562292,-11.825600
15:13:28.598093,-12.063400
15:13:28.641625,-12.223800
15:13:28.687363,-12.455400
15:13:28.719050,-12.639400
15:13:28.764311,-12.842999
15:13:28.813155,-13.078999
15:13:28.859476,-13.313000
15:13:28.906319,-13.545399
15:13:28.954057,-13.785899
15:13:29.000029,-13.999100
15:13:29.047236,-14.252600
15:13:29.092995,-14.483400
15:13:29.140278,-14.717101
15:13:29.186933,-14.948000
15:13:29.218595,-15.106500
15:13:29.265946,-15.345200
15:13:29.312798,-15.577299
15:13:29.359954,-15.815500
15:13:29.407021,-16.050999
15:13:29.454235,-16.287000
15:13:29.500962,-16.518500
15:13:29.547979,-16.756400
15:13:29.594639,-16.987199
15:13:29.626424,-17.191800
15:13:29.673730,-17.384399
15:13:29.720389,-17.615800
15:13:29.767273,-17.852100
15:13:29.812974,-18.082899
15:13:29.844049,-18.249300
15:13:29.890369,-18.467900
15:13:29.936208,-18.699800
15:13:29.983362,-18.932500
15:13:30.045136,-19.230200
15:13:30.077591,-19.475400
15:13:30.123652,-19.631000
15:13:30.170281,-19.864799
15:13:30.216338,-20.100301
15:13:30.263048,-20.328300
15:13:30.295071,-20.486301
15:13:30.341856,-20.726500
15:13:30.387570,-20.956100
15:13:30.434264,-21.187801
15:13:30.469955,-21.417799
15:13:30.511096,-21.574001
15:13:30.557237,-21.802000
15:13:30.603301,-22.034399
15:13:30.650576,-22.269701
15:13:30.698223,-22.504500
15:13:30.730010,-22.663100
15:13:30.776917,-22.902200
15:13:30.824552,-23.136400
15:13:30.856580,-23.297099
15:13:30.903606,-23.534500
15:13:30.950417,-23.740900
15:13:30.996704,-23.996899
15:13:31.043076,-24.231700
15:13:31.073437,-24.385300
15:13:31.119743,-24.614900
15:13:31.165726,-24.847600
15:13:31.197049,-25.011501
15:13:31.243804,-25.234599
15:13:31.290105,-25.468300
15:13:31.336664,-25.698599
15:13:31.382887,-25.933099
15:13:31.429270,-26.161301
15:13:31.475810,-26.392200
15:13:31.522953,-26.630899
15:13:31.569360,-26.860199
15:13:31.616516,-27.098099
15:13:31.662829,-27.330200
15:13:31.705776,-27.566501
15:13:31.757857,-27.802701
15:13:31.804091,-28.037701
15:13:31.850843,-28.268799
15:13:31.898117,-28.505600
15:13:31.944865,-28.737201
15:13:31.992077,-28.975699
15:13:32.037925,-29.207901
15:13:32.084768,-29.440302
15:13:32.130507,-29.670401
15:13:32.178093,-29.904401
15:13:32.223829,-30.135699
15:13:32.270764,-30.366800
15:13:32.317217,-30.603699
15:13:32.363821,-30.836600
15:13:32.410446,-31.065900
15:13:32.458262,-31.304599
15:13:32.504061,-31.535699
15:13:32.550434,-31.768100
15:13:32.642503,-32.200900
15:13:32.689814,-32.462799
15:13:32.737248,-32.700900
15:13:32.783359,-32.929700
15:13:32.830324,-33.166000
15:13:32.877864,-33.402899
15:13:32.926015,-33.643701
15:13:32.972032,-33.877301
15:13:33.002553,-34.059900
15:13:33.048203,-34.256799
15:13:33.095885,-34.490799
15:13:33.142006,-34.727701
15:13:33.188655,-34.956500
15:13:33.234829,-35.192001
15:13:33.280975,-35.423700
15:13:33.327524,-35.650601
15:13:33.375039,-35.889001
15:13:33.421700,-36.122400
15:13:33.468456,-36.355399
15:13:33.515566,-36.593799
15:13:33.562790,-36.826700
15:13:33.609961,-37.065201
15:13:33.657219,-37.299399
15:13:33.688289,-37.458499
15:13:33.734608,-37.689001
15:13:33.781366,-37.919601
15:13:33.828305,-38.158301
15:13:33.874987,-38.388400
15:13:33.922317,-38.624701
15:13:33.970430,-38.863599
15:13:34.017698,-39.079401
15:13:34.064085,-39.265201
15:13:34.110754,-39.433401
15:13:34.157537,-39.580499
15:13:34.204273,-39.704599
15:13:34.251034,-39.807300
